page,button_text,handler,target_route_or_api,status,button_type
frontend/src/pages/Doctor/Dashboard.jsx,Leave Requests,"() => navigate(""/doctor/leave"")",/doctor/leave,VERIFIED_ROUTE,(default)
frontend/src/pages/Doctor/Dashboard.jsx,Open Clinical Intelligence,"() => navigate(""/system-admin/clinical-intelligence"")",/system-admin/clinical-intelligence,VERIFIED_ROUTE,(default)
frontend/src/pages/Doctor/Dashboard.jsx,Open Record,"() => navigate(""/doctor/medical-records"")",/doctor/medical-records,VERIFIED_ROUTE,(default)
frontend/src/pages/Doctor/Dashboard.jsx,Open Schedule,"() => navigate(""/doctor/schedule"")",/doctor/schedule,VERIFIED_ROUTE,(default)
frontend/src/pages/Doctor/Dashboard.jsx,Start Consultation,"() => navigate(""/doctor/opd"")",/doctor/opd,VERIFIED_ROUTE,(default)
frontend/src/pages/Doctor/Dashboard.jsx,Start Consultation,"() => navigate(""/doctor/opd"")",/doctor/opd,VERIFIED_ROUTE,(default)
frontend/src/pages/Doctor/Dashboard.jsx,Today’s Patients,"() => navigate(""/doctor/patients"")",/doctor/patients,VERIFIED_ROUTE,(default)
frontend/src/pages/HospitalAdmin/CommerceConfig.jsx,Open Branding & Customization,"() => navigate(""/hospital-admin/customization"")",/hospital-admin/customization,VERIFIED_ROUTE,(default)
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Attendance Heatmap,"() => navigate(""/reports"")",/reports,VERIFIED_ROUTE,(default)
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Branding & Customization,"() => navigate(""/hospital-admin/customization"")",/hospital-admin/customization,VERIFIED_ROUTE,(default)
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Budget Overview,"() => navigate(""/reports"")",/reports,VERIFIED_ROUTE,(default)
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Incident Reports,"() => navigate(""/security-admin"")",/security-admin,VERIFIED_ROUTE,(default)
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Insurance & Payments,"() => navigate(""/hospital-admin/commerce-config"")",/hospital-admin/commerce-config,VERIFIED_ROUTE,(default)
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Leave Approvals,"() => navigate(""/hospital-admin/approvals"")",/hospital-admin/approvals,VERIFIED_ROUTE,(default)
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Recruitment Ads,"() => navigate(""/hospital-admin/recruitment-ads"")",/hospital-admin/recruitment-ads,VERIFIED_ROUTE,(default)
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Recruitment Requests,"() => navigate(""/hospital-admin/register-staff"")",/hospital-admin/register-staff,VERIFIED_ROUTE,(default)
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Staff Directory,"() => navigate(""/hospital-admin/staff"")",/hospital-admin/staff,VERIFIED_ROUTE,(default)
frontend/src/pages/HospitalAdmin/Dashboard.jsx,Staff Directory,"() => navigate(""/hospital-admin/staff"")",/hospital-admin/staff,VERIFIED_ROUTE,(default)
frontend/src/pages/LabTech/Dashboard.jsx,Equipment Logs,"() => navigate(""/lab-tech"")",/lab-tech,VERIFIED_ROUTE,(default)
frontend/src/pages/LabTech/Dashboard.jsx,Quality Control,"() => navigate(""/lab-tech"")",/lab-tech,VERIFIED_ROUTE,(default)
frontend/src/pages/LabTech/Dashboard.jsx,Reports Archive,"() => navigate(""/reports"")",/reports,VERIFIED_ROUTE,(default)
frontend/src/pages/LabTech/Dashboard.jsx,Safety Checklist,"() => navigate(""/lab-tech"")",/lab-tech,VERIFIED_ROUTE,(default)
frontend/src/pages/LabTech/Dashboard.jsx,Sample Tracking,"() => navigate(""/lab-tech"")",/lab-tech,VERIFIED_ROUTE,(default)
frontend/src/pages/LabTech/Dashboard.jsx,Test Processing Table,"() => navigate(""/labtech/labs"")",/labtech/labs,VERIFIED_ROUTE,(default)
frontend/src/pages/LabTech/Dashboard.jsx,Test Queue,"() => navigate(""/labtech/labs"")",/labtech/labs,VERIFIED_ROUTE,(default)
frontend/src/pages/Nurse/Dashboard.jsx,Assigned Patients,"() => navigate(""/nurse"")",/nurse,VERIFIED_ROUTE,(default)
frontend/src/pages/Nurse/Dashboard.jsx,Incident Reports,"() => navigate(""/nurse"")",/nurse,VERIFIED_ROUTE,(default)
frontend/src/pages/Nurse/Dashboard.jsx,Medication Administration,"() => navigate(""/nurse"")",/nurse,VERIFIED_ROUTE,(default)
frontend/src/pages/Nurse/Dashboard.jsx,My Shift,"() => navigate(""/nurse"")",/nurse,VERIFIED_ROUTE,(default)
frontend/src/pages/Nurse/Dashboard.jsx,Open My Requests,"() => navigate(""/workforce/requests"")",/workforce/requests,VERIFIED_ROUTE,(default)
frontend/src/pages/Nurse/Dashboard.jsx,Patient Task List,"() => navigate(""/nurse"")",/nurse,VERIFIED_ROUTE,(default)
frontend/src/pages/Nurse/Dashboard.jsx,Vitals Entry,"() => navigate(""/nurse"")",/nurse,VERIFIED_ROUTE,(default)
frontend/src/pages/SuperAdmin/Dashboard.jsx,Compliance Alerts,"() => navigate(""/reports"")",/reports,VERIFIED_ROUTE,(default)
frontend/src/pages/SuperAdmin/Dashboard.jsx,Global Payroll,"() => navigate(""/payments/full"")",/payments/full,VERIFIED_ROUTE,(default)
frontend/src/pages/SuperAdmin/Dashboard.jsx,Hospitals,"() => navigate(""/super-admin/hospitals"")",/super-admin/hospitals,VERIFIED_ROUTE,(default)
frontend/src/pages/SuperAdmin/Dashboard.jsx,Regulatory Reports,"() => navigate(""/reports"")",/reports,VERIFIED_ROUTE,(default)
frontend/src/pages/SuperAdmin/Dashboard.jsx,Revenue Graph,"async () => { await triggerAction(""REVENUE_OVERVIEW""); navigate(""/payments/full""); }",/payments/full,VERIFIED_ROUTE,(default)
frontend/src/pages/SuperAdmin/Dashboard.jsx,Security Incidents,"() => navigate(""/security-admin"")",/security-admin,VERIFIED_ROUTE,(default)
frontend/src/pages/SuperAdmin/Dashboard.jsx,System Settings,"() => navigate(""/super-admin/settings"")",/super-admin/settings,VERIFIED_ROUTE,(default)
frontend/src/pages/SuperAdmin/Dashboard.jsx,System Status Monitor,"() => navigate(""/system-admin"")",/system-admin,VERIFIED_ROUTE,(default)
frontend/src/pages/SuperAdmin/Dashboard.jsx,Workforce Distribution,"() => navigate(""/analytics"")",/analytics,VERIFIED_ROUTE,(default)
