page,button_text,handler,target_route_or_api,status,button_type
frontend/src/pages/Doctor/Appointments.jsx,Complete,()=>update(it._id),(manual),MANUAL_REVIEW,button
frontend/src/pages/Doctor/Appointments.jsx,Create,(none),(manual),MANUAL_REVIEW,submit
frontend/src/pages/Doctor/Appointments.jsx,Delete,()=>remove(it._id),(manual),MANUAL_REVIEW,button
frontend/src/pages/Doctor/Dashboard.jsx,(dynamic/no-text),"() => navigate(""/notifications"")",/notifications,VERIFIED_ROUTE,button
frontend/src/pages/Doctor/Dashboard.jsx,Leave Requests,"() => navigate(""/doctor/leave"")",/doctor/leave,VERIFIED_ROUTE,button
frontend/src/pages/Doctor/Dashboard.jsx,Open Clinical Intelligence,"() => navigate(""/system-admin/clinical-intelligence"")",/system-admin/clinical-intelligence,VERIFIED_ROUTE,button
frontend/src/pages/Doctor/Dashboard.jsx,Open Record,"() => navigate(""/doctor/medical-records"")",/doctor/medical-records,VERIFIED_ROUTE,button
frontend/src/pages/Doctor/Dashboard.jsx,Open Schedule,"() => navigate(""/doctor/schedule"")",/doctor/schedule,VERIFIED_ROUTE,button
frontend/src/pages/Doctor/Dashboard.jsx,Start Consultation,"() => navigate(""/doctor/opd"")",/doctor/opd,VERIFIED_ROUTE,button
frontend/src/pages/Doctor/Dashboard.jsx,Start Consultation,"() => navigate(""/doctor/opd"")",/doctor/opd,VERIFIED_ROUTE,button
frontend/src/pages/Doctor/Dashboard.jsx,Today’s Patients,"() => navigate(""/doctor/patients"")",/doctor/patients,VERIFIED_ROUTE,button
frontend/src/pages/Doctor/MyPatients.jsx,Add Note,() => navigate(`/doctor/reports-notes?patientId=${p._id}`),/doctor/reports-notes?patientId=${p._id},MANUAL_REVIEW_ROUTE,button
frontend/src/pages/Doctor/MyPatients.jsx,Open Record,() => navigate(`/doctor/medical-records?patientId=${p._id}`),/doctor/medical-records?patientId=${p._id},MANUAL_REVIEW_ROUTE,button
frontend/src/pages/Doctor/MyPatients.jsx,Prescribe,() => navigate(`/doctor/prescriptions?patientId=${p._id}`),/doctor/prescriptions?patientId=${p._id},MANUAL_REVIEW_ROUTE,button
frontend/src/pages/Doctor/MyPatients.jsx,Refer,() => navigate(`/doctor/referrals?patientId=${p._id}`),/doctor/referrals?patientId=${p._id},MANUAL_REVIEW_ROUTE,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,(dynamic/no-text),"() => setViewMode((v) => (v === ""BREACHED"" ? ""ALL"" : ""BREACHED""))",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,(dynamic/no-text),runPreview,(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,(dynamic/no-text),() => setShowInactivePresets((v) => !v),(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,(dynamic/no-text),"() => applyAutomationPreset(row.requestType, preset.key)",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,(dynamic/no-text),"() => loadMoreByKind(""LEAVE"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,(dynamic/no-text),"() => loadMoreByKind(""OVERTIME"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,(dynamic/no-text),"() => loadMoreByKind(""SHIFT"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,(dynamic/no-text),() => loadAll({ append: true }),(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,All,"() => setQueueKindFilter(""ALL"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Apply to all,() => applyPresetAll(preset.key),(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Approve,"() => doApprove(item.kind, item._id, isOverdue(item))",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Auto-Advance:,() => setAutoAdvance((v) => !v),(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Clone to Form,() => clonePresetToForm(preset),(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Deactivate,() => deactivateCustomPreset(preset.key),(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Jump to Next Breached,jumpToNextBreached,(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Leave,"() => setQueueKindFilter(""LEAVE"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Overtime,"() => setQueueKindFilter(""OVERTIME"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Reactivate,() => reactivateCustomPreset(preset.key),(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Refresh,() => loadAll({ append: false }),(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Reject,"() => doReject(item.kind, item._id, isOverdue(item))",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Reset Form,"() => setCustomPreset({ key: """", name: """", description: """", config: { active: true, autoApprove: false, requireSecondApprover: true, fallbackRole: ""AUTO"", escalationAfterMinutes: 120, conditions: { priorityAgeMultiplier: 1, priorityWeightCap: 5, }, }, })",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Reset View,resetView,(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Run Escalation Sweep,runSweep,(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/Approvals.jsx,Save,() => savePolicy(row.requestType),(manual),MANUAL_REVIEW,button
