page,button_text,handler,target_route_or_api,status,button_type
frontend/src/App.jsx,{r.text}  { e.stopPropagation(); dismissReminder(r.id); }} > ×,r.action,(manual),MANUAL_REVIEW,button
frontend/src/App.jsx,"setSidebarOpen(false)} /> )}  {user &&  setSidebarOpen(false)} />}  {securityNotice && (  navigate(""/step-up"")}> {securityNotice.message}  { e.stopPropagation(); setSecurityNotice(null); }} > ×",(none),(manual),MANUAL_REVIEW,(default)
frontend/src/components/admin/AdminWorkflowOverride.jsx,"submit(""APPROVE"")} style={{ marginRight: 8 }} > Force Approve",(none),(manual),MANUAL_REVIEW,button
frontend/src/components/admin/AdminWorkflowOverride.jsx,"submit(""REJECT"")} style={{ background: ""#dc2626"", color: ""white"" }} > Force Reject",(none),(manual),MANUAL_REVIEW,button
frontend/src/components/AIChat.jsx,Send,send,(manual),MANUAL_REVIEW,button
frontend/src/components/AIChatWS.jsx,Ask AI,send,(manual),MANUAL_REVIEW,button
frontend/src/components/AppErrorBoundary.jsx,window.location.reload()}> Reload,(none),(manual),MANUAL_REVIEW,button
frontend/src/components/billing/BillingActions.jsx,"{alreadyApproved ? ""Insurance Approved"" : loading ? ""Submitting..."" : ""Request SHA Pre-Authorization""}",requestShaPreauth,(manual),MANUAL_REVIEW,button
frontend/src/components/Cards.jsx,{badge},onBadgeClick,(manual),MANUAL_REVIEW,button
frontend/src/components/FirstLoginTour.jsx,×,close,(manual),MANUAL_REVIEW,button
frontend/src/components/FirstLoginTour.jsx,Finish,close,(manual),MANUAL_REVIEW,button
frontend/src/components/FirstLoginTour.jsx,"navigate(ctaPath)} > {current.ctaLabel || ""Open""}",(none),(manual),MANUAL_REVIEW,button
frontend/src/components/FirstLoginTour.jsx,"setIndex((v) => Math.max(0, v - 1))}> Back",(none),(manual),MANUAL_REVIEW,button
frontend/src/components/FirstLoginTour.jsx,setIndex((v) => v + 1)}> Next,(none),(manual),MANUAL_REVIEW,button
frontend/src/components/FirstLoginTour.jsx,Skip Tour,close,(manual),MANUAL_REVIEW,button
frontend/src/components/FloatingAI.jsx,"window.open(ai.url, ""_blank"")} title={ai.name || ""NeuroEdge""} > {ai.name || ""NeuroEdge""} {ai.greeting || ""Ask AI""}",(none),(manual),MANUAL_REVIEW,button
